snail_id,date_collected,temp,caffeine_concentration,caffeine_mass_units,exposure_type,rep,mesocosm,date_dry_mass,dry_mass_g,date_poop_ash_free_dry_mass,poop_ash_free_dry_mass_g
107,20190708,12.5,1000000,ng,chronic,B,p_g,,,,
108,20190708,12.5,1000000,ng,chronic,C,p_g,,,,
109,20190708,12.5,1000000,ng,chronic,D,p_g,,,,
110,20190708,12.5,1000000,ng,chronic,E,p_g,,,,
111,20190708,12.5,1000000,ng,chronic,F,p_g,,,,
112,20190708,12.5,1000000,ng,chronic,G,p_g,,,,
113,20190708,12.5,1000000,ng,chronic,H,p_g,,,,
114,20190708,12.5,1000000,ng,chronic,I,p_g,,,,
115,20190708,12.5,1000000,ng,chronic,J,p_g,,,,
116,20190708,12.5,1000000,ng,chronic,K,p_g,,,,
117,20190708,12.5,1000000,ng,chronic,L,p_g,,,,
118,20190708,12.5,1000000,ng,chronic,M,p,,,,
119,20190708,12.5,1000000,ng,chronic,N,p,,,,
120,20190708,12.5,1000000,ng,chronic,O,p,,,,
1,20190712,17.5,0,ng,chronic,A,p_g,,,,
2,20190712,17.5,0,ng,chronic,B,p_g,,,,
3,20190712,17.5,0,ng,chronic,C,p_g,,,,
4,20190712,17.5,0,ng,chronic,D,p_g,,,,
5,20190712,17.5,0,ng,chronic,E,p_g,,,,
6,20190712,17.5,0,ng,chronic,F,p_g,,,,
7,20190712,17.5,0,ng,chronic,G,p_g,,,,
8,20190712,17.5,0,ng,chronic,H,p_g,,,,
9,20190712,17.5,0,ng,chronic,I,p_g,,,,
10,20190712,17.5,0,ng,chronic,J,p_g,,,,
11,20190712,17.5,0,ng,chronic,K,p_g,,,,
12,20190712,17.5,0,ng,chronic,L,p_g,,,,
13,20190712,17.5,0,ng,chronic,M,p,,,,
14,20190712,17.5,0,ng,chronic,N,p,,,,
15,20190712,17.5,0,ng,chronic,O,p,,,,
16,20190712,17.5,100,ng,chronic,A,p_g,,,,
17,20190712,17.5,100,ng,chronic,B,p_g,,,,
18,20190712,17.5,100,ng,chronic,C,p_g,,,,
19,20190712,17.5,100,ng,chronic,D,p_g,,,,
20,20190712,17.5,100,ng,chronic,E,p_g,,,,
21,20190712,17.5,100,ng,chronic,F,p_g,,,,
22,20190712,17.5,100,ng,chronic,G,p_g,,,,
23,20190712,17.5,100,ng,chronic,H,p_g,,,,
24,20190712,17.5,100,ng,chronic,I,p_g,,,,
25,20190712,17.5,100,ng,chronic,J,p_g,,,,
26,20190712,17.5,100,ng,chronic,K,p_g,,,,
27,20190712,17.5,100,ng,chronic,L,p_g,,,,
28,20190712,17.5,100,ng,chronic,M,p,,,,
29,20190712,17.5,100,ng,chronic,N,p,,,,
30,20190712,17.5,100,ng,chronic,O,p,,,,
31,20190712,17.5,10000,ng,chronic,A,p_g,,,,
32,20190712,17.5,10000,ng,chronic,B,p_g,,,,
33,20190712,17.5,10000,ng,chronic,C,p_g,,,,
34,20190712,17.5,10000,ng,chronic,D,p_g,,,,
35,20190712,17.5,10000,ng,chronic,E,p_g,,,,
36,20190712,17.5,10000,ng,chronic,F,p_g,,,,
37,20190712,17.5,10000,ng,chronic,G,p_g,,,,
38,20190712,17.5,10000,ng,chronic,H,p_g,,,,
39,20190712,17.5,10000,ng,chronic,I,p_g,,,,
40,20190712,17.5,10000,ng,chronic,J,p_g,,,,
41,20190712,17.5,10000,ng,chronic,K,p_g,,,,
42,20190712,17.5,10000,ng,chronic,L,p_g,,,,
43,20190712,17.5,10000,ng,chronic,M,p,,,,
44,20190712,17.5,10000,ng,chronic,N,p,,,,
45,20190712,17.5,10000,ng,chronic,O,p,,,,
46,20190712,17.5,1000000,ng,chronic,A,p_g,,,,
47,20190712,17.5,1000000,ng,chronic,B,p_g,,,,
48,20190712,17.5,1000000,ng,chronic,C,p_g,,,,
49,20190712,17.5,1000000,ng,chronic,D,p_g,,,,
50,20190712,17.5,1000000,ng,chronic,E,p_g,,,,
51,20190712,17.5,1000000,ng,chronic,F,p_g,,,,
52,20190712,17.5,1000000,ng,chronic,G,p_g,,,,
53,20190712,17.5,1000000,ng,chronic,H,p_g,,,,
54,20190712,17.5,1000000,ng,chronic,I,p_g,,,,
55,20190712,17.5,1000000,ng,chronic,J,p_g,,,,
56,20190712,17.5,1000000,ng,chronic,K,p_g,,,,
57,20190712,17.5,1000000,ng,chronic,L,p_g,,,,
58,20190712,17.5,1000000,ng,chronic,M,p,,,,
59,20190712,17.5,1000000,ng,chronic,N,p,,,,
60,20190712,17.5,1000000,ng,chronic,O,p,,,,
61,20190712,12.5,0,ng,chronic,A,p_g,,,,
62,20190712,12.5,0,ng,chronic,B,p_g,,,,
63,20190712,12.5,0,ng,chronic,C,p_g,,,,
64,20190712,12.5,0,ng,chronic,D,p_g,,,,
65,20190712,12.5,0,ng,chronic,E,p_g,,,,
66,20190712,12.5,0,ng,chronic,F,p_g,,,,
67,20190712,12.5,0,ng,chronic,G,p_g,,,,
68,20190712,12.5,0,ng,chronic,H,p_g,,,,
69,20190712,12.5,0,ng,chronic,I,p_g,,,,
70,20190712,12.5,0,ng,chronic,J,p_g,,,,
71,20190712,12.5,0,ng,chronic,K,p_g,,,,
72,20190712,12.5,0,ng,chronic,L,p_g,,,,
73,20190712,12.5,0,ng,chronic,M,p,,,,
74,20190712,12.5,0,ng,chronic,N,p,,,,
75,20190712,12.5,0,ng,chronic,O,p,,,,
76,20190712,12.5,100,ng,chronic,A,p_g,,,,
77,20190712,12.5,100,ng,chronic,B,p_g,,,,
78,20190712,12.5,100,ng,chronic,C,p_g,,,,
79,20190712,12.5,100,ng,chronic,D,p_g,,,,
80,20190712,12.5,100,ng,chronic,E,p_g,,,,
81,20190712,12.5,100,ng,chronic,F,p_g,,,,
82,20190712,12.5,100,ng,chronic,G,p_g,,,,
83,20190712,12.5,100,ng,chronic,H,p_g,,,,
84,20190712,12.5,100,ng,chronic,I,p_g,,,,
85,20190712,12.5,100,ng,chronic,J,p_g,,,,
86,20190712,12.5,100,ng,chronic,K,p_g,,,,
87,20190712,12.5,100,ng,chronic,L,p_g,,,,
88,20190712,12.5,100,ng,chronic,M,p,,,,
89,20190712,12.5,100,ng,chronic,N,p,,,,
90,20190712,12.5,100,ng,chronic,O,p,,,,
91,20190712,12.5,10000,ng,chronic,A,p_g,,,,
92,20190712,12.5,10000,ng,chronic,B,p_g,,,,
93,20190712,12.5,10000,ng,chronic,C,p_g,,,,
94,20190712,12.5,10000,ng,chronic,D,p_g,,,,
95,20190712,12.5,10000,ng,chronic,E,p_g,,,,
96,20190712,12.5,10000,ng,chronic,F,p_g,,,,
97,20190712,12.5,10000,ng,chronic,G,p_g,,,,
98,20190712,12.5,10000,ng,chronic,H,p_g,,,,
99,20190712,12.5,10000,ng,chronic,I,p_g,,,,
100,20190712,12.5,10000,ng,chronic,J,p_g,,,,
101,20190712,12.5,10000,ng,chronic,K,p_g,,,,
102,20190712,12.5,10000,ng,chronic,L,p_g,,,,
103,20190712,12.5,10000,ng,chronic,M,p,,,,
104,20190712,12.5,10000,ng,chronic,N,p,,,,
105,20190712,12.5,10000,ng,chronic,O,p,,,,
106,20190712,12.5,1000000,ng,chronic,A,p_g,,,,
107,20190712,12.5,1000000,ng,chronic,B,p_g,,,,
108,20190712,12.5,1000000,ng,chronic,C,p_g,,,,
109,20190712,12.5,1000000,ng,chronic,D,p_g,,,,
110,20190712,12.5,1000000,ng,chronic,E,p_g,,,,
111,20190712,12.5,1000000,ng,chronic,F,p_g,,,,
112,20190712,12.5,1000000,ng,chronic,G,p_g,,,,
113,20190712,12.5,1000000,ng,chronic,H,p_g,,,,
114,20190712,12.5,1000000,ng,chronic,I,p_g,,,,
115,20190712,12.5,1000000,ng,chronic,J,p_g,,,,
116,20190712,12.5,1000000,ng,chronic,K,p_g,,,,
117,20190712,12.5,1000000,ng,chronic,L,p_g,,,,
